,Movie_Name,Run_time,Year
0,"
1.
The Shawshank Redemption
(1994)
",142 min,(1994)
1,"
2.
The Godfather
(1972)
",175 min,(1972)
2,"
3.
The Dark Knight
(2008)
",152 min,(2008)
3,"
4.
The Godfather: Part II
(1974)
",202 min,(1974)
4,"
5.
The Lord of the Rings: The Return of the King
(2003)
",201 min,(2003)
5,"
6.
Pulp Fiction
(1994)
",154 min,(1994)
6,"
7.
Schindler's List
(1993)
",195 min,(1993)
7,"
8.
12 Angry Men
(1957)
",96 min,(1957)
8,"
9.
Inception
(2010)
",148 min,(2010)
9,"
10.
Fight Club
(1999)
",139 min,(1999)
10,"
11.
The Lord of the Rings: The Fellowship of the Ring
(2001)
",178 min,(2001)
11,"
12.
Forrest Gump
(1994)
",142 min,(1994)
12,"
13.
Il buono, il brutto, il cattivo
(1966)
",161 min,(1966)
13,"
14.
Avengers: Endgame
(2019)
",181 min,(2019)
14,"
15.
The Lord of the Rings: The Two Towers
(2002)
",179 min,(2002)
15,"
16.
The Matrix
(1999)
",136 min,(1999)
16,"
17.
Goodfellas
(1990)
",146 min,(1990)
17,"
18.
Star Wars: Episode V - The Empire Strikes Back
(1980)
",124 min,(1980)
18,"
19.
One Flew Over the Cuckoo's Nest
(1975)
",133 min,(1975)
19,"
20.
Shichinin no samurai
(1954)
",207 min,(1954)
20,"
21.
Interstellar
(2014)
",169 min,(2014)
21,"
22.
Cidade de Deus
(2002)
",130 min,(2002)
22,"
23.
Sen to Chihiro no kamikakushi
(2001)
",125 min,(2001)
23,"
24.
Saving Private Ryan
(1998)
",169 min,(1998)
24,"
25.
The Green Mile
(1999)
",189 min,(1999)
25,"
26.
La vita è bella
(1997)
",116 min,(1997)
26,"
27.
The Usual Suspects
(1995)
",106 min,(1995)
27,"
28.
Se7en
(1995)
",127 min,(1995)
28,"
29.
Léon
(1994)
",110 min,(1994)
29,"
30.
The Silence of the Lambs
(1991)
",118 min,(1991)
30,"
31.
Star Wars
(1977)
",121 min,(1977)
31,"
32.
It's a Wonderful Life
(1946)
",130 min,(1946)
32,"
33.
Spider-Man: Into the Spider-Verse
(2018)
",117 min,(2018)
33,"
34.
Avengers: Infinity War
(2018)
",149 min,(2018)
34,"
35.
Whiplash
(2014)
",106 min,(2014)
35,"
36.
The Intouchables
(2011)
",112 min,(2011)
36,"
37.
The Prestige
(2006)
",130 min,(2006)
37,"
38.
The Departed
(2006)
",151 min,(2006)
38,"
39.
The Pianist
(2002)
",150 min,(2002)
39,"
40.
Memento
(2000)
",113 min,(2000)
40,"
41.
Gladiator
(2000)
",155 min,(2000)
41,"
42.
American History X
(1998)
",119 min,(1998)
42,"
43.
The Lion King
(1994)
",88 min,(1994)
43,"
44.
Terminator 2: Judgment Day
(1991)
",137 min,(1991)
44,"
45.
Nuovo Cinema Paradiso
(1988)
",155 min,(1988)
45,"
46.
Hotaru no haka
(1988)
",89 min,(1988)
46,"
47.
Back to the Future
(1985)
",116 min,(1985)
47,"
48.
Raiders of the Lost Ark
(1981)
",115 min,(1981)
48,"
49.
Apocalypse Now
(1979)
",147 min,(1979)
49,"
50.
Alien
(1979)
",117 min,(1979)
