,College Name,360 Careers Rating,NIRF Rank
4,Indian Institute of Technology Madras,AAAAA,1
1,Indian Institute of Technology Delhi,AAAAA,2
0,Indian Institute of Technology Bombay,AAAAA,3
3,Indian Institute of Technology Kharagpur,AAAAA,4
2,Indian Institute of Technology Kanpur,AAAAA,5
5,Indian Institute of Technology Roorkee,AAAAA,6
63,Indian Institute of Technology Guwahati,AAAA,7
18,Indian Institute of Technology Hyderabad,AAAA+,8
43,"Anna University, Chennai",AAAA,9
34,National Institute of Technology Tiruchirappalli,AAAA+,10
15,Indian Institute of Technology Banaras Hindu University Varanasi,AAAA+,11
25,"Institute of Chemical Technology, Mumbai",AAAA+,12
20,Indian Institute of Technology Indore,AAAA+,13
27,"Jadavpur University, Kolkata",AAAA+,14
19,Indian Institute of Technology Indian School of Mines Dhanbad,AAAA+,15
88,National Institute of Technology Rourkela,AAAA,16
16,Indian Institute of Technology Bhubaneswar,AAAA+,17
111,"Vellore Institute of Technology, Vellore",AAAA,18
11,Indian Institute of Engineering Science and Technology Shibpur,AAAA+,19
21,Indian Institute of Technology Mandi,AAAA+,20
33,National Institute of Technology Karnataka Surathkal,AAAA+,21
22,Indian Institute of Technology Patna,AAAA+,22
39,"Thapar Institute of Engineering and Technology, Patiala",AAAA+,23
17,Indian Institute of Technology Gandhinagar,AAAA+,24
6,"Birla Institute of Technology and Science, Pilani",AAAA+,25
35,National Institute of Technology Warangal,AAAA+,26
28,"Jamia Millia Islamia, New Delhi",AAAA+,27
31,National Institute of Technology Calicut,AAAA+,28
23,Indian Institute of Technology Ropar,AAAA+,29
14,"Indian Institute of Space Science and Technology, Thiruvananthapuram",AAAA+,30
41,Visvesvaraya National Institute of Technology Nagpur,AAAA+,31
157,"Siksha 'O' Anusandhan, Bhubaneswar",AAA+,32
49,"Birla Institute of Technology, Mesra",AAAA,33
8,"Delhi Technological University, Delhi",AAAA+,34
96,"SRM Institute of Science and Technology, Chennai",AAAA,36
106,"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",AAAA,37
101,"Shanmugha Arts Science Technology Research and Academy, Thanjavur",AAAA,38
26,"International Institute of Information Technology, Hyderabad",AAAA+,39
30,Motilal Nehru National Institute of Technology Allahabad Prayagraj,AAAA+,42
77,"Manipal Institute of Technology, Manipal",AAAA,43
93,"PSG College of Technology, Coimbatore",AAAA,44
82,National Institute of Technology Durgapur,AAAA,46
100,"Sathyabama Institute of Science and Technology, Chennai",AAAA,47
72,"Kalinga Institute of Industrial Technology, Bhubaneswar",AAAA,48
64,Indian Institute of Technology Jodhpur,AAAA,50
89,National Institute of Technology Silchar,AAAA,51
74,"Koneru Lakshmaiah Education Foundation, Guntur",AAAA,52
29,Malaviya National Institute of Technology Jaipur,AAAA+,53
